,Unnamed: 0,input,acp,output,origin
0,3,Only the business office manager and the dean can approve a project.,1.0,{decision: allow; subject: business office manager; action: approve; resource: project; purpose: none; condition: none | decision: allow; subject: dean; action: approve; resource: project; purpose: none; condition: none},collected
1,4,"No competitor to such paper shall resign, once he has already appointed a sub - reviewer for that paper.",1.0,{decision: deny; subject: competitor; action: resign; resource: none; condition: once he has already appointed a sub reviewer for that paper; purpose: none},collected_train
2,5,The patient’s MID can not be edited.,1.0,{decision: deny; subject: none; action: edit; resource: mid; purpose: none; condition: none},t2p
3,10,A patient or personal representative may view medical records including family history.,1.0,{decision: allow; subject: patient; action: view; resource: medical record; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: medical record; purpose: none; condition: none},t2p
4,12,"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.  The system records the student’s grade for the course offering.",1.0,{decision: allow; subject: professor; action: enter; resource: grade; purpose: none; condition: none | decision: allow; subject: system; action: record; resource: grade; purpose: none; condition: none},ibm
5,30,"The patient or personal representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",1.0,{decision: allow; subject: patient; action: see; resource: health history of their siblings; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of their parents; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of their siblings; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of their parents; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: abbreviated health history of both sets of grandparents; purpose: none; condition: none},t2p
6,31,"The sending HCP then chooses a priority from 1-3 (1 is most important, 3 is least important) for the referral.",1.0,{decision: allow; subject: hcp; action: choose; resource: priority; purpose: none; condition: none},acre
7,38,"The law must prevent students from changing instructional schedules located within their schedule, and professors for modifying assigned course offerings from full professors.",1.0,{decision: deny; subject: students; action: change; resource: instructional schedules; purpose: none; condition: none | decision: deny; subject: professors; action: modify; resource: assigned course offerings; purpose: none; condition: none},collected_train
8,50,An HCP edits an office visit.,1.0,{decision: allow; subject: hcp; action: edit; resource: office visit; purpose: none; condition: none},t2p
9,53,An LHCP or patient or representative can modify and save his or her message displaying filter  or view his or her message inbox  including only the messages satisfying the specified filtering criteria in the saved filter.,1.0,{decision: allow; subject: lhcp; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: patient; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: representative; action: modify; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: lhcp; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: patient; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: representative; action: save; resource: message displaying filter; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: message inbox; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: message inbox; purpose: none; condition: none | decision: allow; subject: representative; action: view; resource: message inbox; purpose: none; condition: none},acre
10,66,"A patient can click the ""View Full Calendar"" link to view his appointments in the current month.",1.0,{decision: allow; subject: patient; action: click; resource: view full calendar link; purpose: view his appointments in the current month; condition: none},t2p
11,68,The administrator will maintain  a listing of allowable drugs that an HCP can use.,1.0,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable drugs; purpose: none; condition: none},acre
12,70,The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,1.0,{decision: allow; subject: none; action: authenticate; resource: itrust user; condition: none; purpose: none},acre
13,77,In case of an emergency any user should be able to trigger the evacuation alarm.,1.0,{decision: allow; subject: user; action: trigger; resource: evacuation alarm; condition: emergency; purpose: none},collected_train
14,85,"A user (a patient or personal health representative) views basic information about his or her designated LHCPs, including the name, phone number, and contact email information .",1.0,{decision: allow; subject: patient; action: view; resource: basic information; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: name of lhcp; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: phone number of lhcp; purpose: none; condition: none | decision: allow; subject: patient; action: view; resource: contact email; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: basic information; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: name of lhcp; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: phone number of lhcp; purpose: none; condition: none | decision: allow; subject: personal health representative; action: view; resource: contact email; purpose: none; condition: none},acre
15,88,"A user (a patient, patient representative, or LHCP) can sort messages in his or her message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).",1.0,{decision: allow; subject: lhcp; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient representative; action: sort; resource: message; purpose: none; condition: none},acre
16,89,"He can report the height, weight and pedometer reading for the patient.",1.0,{decision: allow; subject: he; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: pedometer reading; purpose: none; condition: none},t2p
17,106,"A patient, patient representative, or LHCP can sort messages in his message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).",1.0,{decision: allow; subject: patient; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient representative; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: lhcp; action: sort; resource: message; purpose: none; condition: none},t2p
19,146,Their main form of access is to view the care plan for each resident and to add progress note entries based on their observations.,1.0,{decision: allow; subject: they; action: view; resource: care plan for each resident; purpose: none; condition: none | decision: allow; subject: they; action: add; resource: progress note entry; purpose: none; condition: none},collected
20,160,The software source code can only be accessed by approved developers for maintenance purposes.,1.0,{decision: allow; subject: approved developers; action: access; resource: software source code; condition: none; purpose: maintenance purposes},collected_train
21,197,The HCP is notified if any of the fields contain characters that are not in the above list.,1.0,{decision: allow; subject: none; action: notify; resource: hcp; condition: if any of the fields contain characters that are not in the above list; purpose: none},acre
22,198,The administrator maintains a listing of allowable diagnoses.,1.0,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable diagnoses; purpose: none; condition: none},t2p
23,203,Authors may never read scores.,1.0,{decision: deny; subject: author; action: read; resource: score; purpose: none; condition: none},collected
24,210,A hcp does not have the capacity to read his client's security information and password.,1.0,"{decision: deny; subject: hcp; action: read; resource: ""clients security information""; purpose: none; condition: none | decision: deny; subject: hcp; action: read; resource: ""clients password""; purpose: none; condition: none}",collected_train
26,223,"The LHCP, the patient or the representative clicks the ""Save"" button to save the modified filter.",1.0,{decision: allow; subject: lhcp; action: click; resource: save button; purpose: save the modified filter; condition: none | decision: allow; subject: patient; action: click; resource: save button; purpose: save the modified filter; condition: none | decision: allow; subject: representative; action: click; resource: “save” button; purpose: save the modified filter; condition: none},t2p
27,224,"When the HCP selects the ""Other"" reason, the HCP shall enter free-style text to provide the details for ""Other"" reasons.",1.0,"{decision: allow; subject: hcp; action: enter; resource: text; purpose: provide the details for ""other"" reasons; condition: when the HCP selects the other reason}",acre
28,241,You can also add medical notes about each resident that are not visible to the manager.,1.0,{decision: allow; subject: you; action: add; resource: medical notes about each resident; purpose: none; condition: none | decision: deny; subject: manager; action: view; resource: medical notes about each resident; purpose: none; condition: none},collected_train
29,277,"Through your electronic system, it is not allowed residents to connect to my network as long as they want.",1.0,{decision: deny; subject: residents; action: connect; resource: network; purpose: none; condition: none},collected_train
30,308,"The patient types a last name or partial last name, possibly and possibly providing the specialty.",1.0,{decision: allow; subject: patient; action: type; resource: last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: partial last name; purpose: none; condition: none | decision: allow; subject: patient; action: type; resource: specialty; purpose: none; condition: none},acre
31,318,The administrator is not allowed to delete an existing entry.,1.0,{decision: deny; subject: administrator; action: delete; resource: entry; purpose: none; condition: none},t2p
32,323,"The sending HCP must select a receiving HCP by either entering the HCP's MID and confirming the selection, or by searching for the HCP by name.",1.0,{decision: allow; subject: hcp; action: select; resource: hcp; purpose: none; condition: none},acre
33,324," ""The website visitors can only view public content and submit contact forms.""",1.0,{decision: allow; subject: website visitors; action: view; resource: public content; condition: none; purpose: none | decision: allow; subject: website visitors; action: submit; resource: contact forms; condition: none; purpose: none},collected_train
34,325,The patient is then able to write a textual description.,1.0,{decision: allow; subject: patient; action: write; resource: textual description; purpose: none; condition: none},t2p
35,355,The HCP may not have all the options to access the current security issue and password of the victims.,1.0,{decision: deny; subject: hcp; action: access; resource: current security issue; purpose: none; condition: none | decision: deny; subject: hcp; action: access; resource: password of the victims; purpose: none; condition: none},collected_train
36,367,Upon notice of allergies possibly and possibly interactions the HCP must either choose to proceed with the prescription  or cancel the prescription and remain on the office visit page.,1.0,{decision: allow; subject: hcp; action: proceed; resource: prescription; purpose: none; condition: upon notice of allergies possibly and possibly interactions | decision: allow; subject: hcp; action: cancel; resource: prescription; purpose: none; condition: upon notice of allergies possibly and possibly interactions | decision: allow; subject: hcp; action: remain; resource: office visit page; purpose: none; condition: upon notice of allergies possibly and possibly interactions},acre
37,370,The Registrar enters the professor id.,1.0,{decision: allow; subject: registrar; action: enter; resource: professor id; purpose: none; condition: none},ibm
38,372,"The HCP may sort the list of referrals by patient name, receiving HCP name, time generated, possibly and possibly priority.",1.0,{decision: allow; subject: hcp; action: sort; resource: list of referrals; purpose: none; condition: none},acre
39,376,A sending HCP cancels a previously sent patient referral .,1.0,{decision: allow; subject: hcp; action: cancel; resource: referral; purpose: none; condition: none},acre
40,391,System presents a list of pending referrals.,1.0,{decision: allow; subject: system; action: present; resource: list of pending referrals; purpose: none; condition: none},t2p
41,414,"The LHCP chooses to examine a patient for which the preconditions do not apply (e.g., an adult shouldn't be tested for child diabetes) and the LHCP is prompted that no analysis can occur.",1.0,{decision: allow; subject: lhcp; action: examine; resource: patient; purpose: none; condition: none},acre
42,416,It cannot approve projects that it has re-submitted.,1.0,{decision: deny; subject: it; action: approve; resource: projects that it has re-submitted or re-submitted; purpose: none; condition: none},collected_train
43,429,The HCP must proceed with the prescription.,1.0,{decision: allow; subject: hcp; action: proceed; resource: prescription; purpose: none; condition: none},t2p
44,439,"An administrator chooses to maintain the standards list for immunizations , diagnoses , allowable drugs , or allowable physical services .",1.0,{decision: allow; subject: administrator; action: maintain; resource: list for immunizations; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for diagnoses; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for drugs; purpose: none; condition: none | decision: allow; subject: administrator; action: maintain; resource: list for physical services; purpose: none; condition: none},acre
45,445,"(If a patient or personal resident has not yet completed his or her satisfaction survey for the visit to the office).This patient can complete the survey for each visit to the office (if the survey has already been completed, the person or personal health officer will not be able to see the survey).",1.0,{decision: allow; subject: patient; action: complete; resource: survey; purpose: visit to the office; condition: patient or personal resident has not yet completed his or her satisfaction survey for the visit to the office | decision: deny; subject: patient; action: see; resource: survey; purpose: none; condition: survey has already been completed | decision: deny; subject: personal health officer; action: see; resource: survey; purpose: none; condition: survey has already been completed},collected_train
46,459,"The iTrust user (Lab Technician, patient, or HCP) has been authenticated in the iTrust Medical Records system (UC3).",1.0,{decision: allow; subject: none; action: authenticate; resource: lab technician; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: patient; condition: none; purpose: none | decision: allow; subject: none; action: authenticate; resource: hcp; condition: none; purpose: none},acre
47,460,The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,1.0,{decision: allow; subject: maintainer; action: generate; resource: page; purpose: none; condition: paper distribution has been done},cyber
48,485,Employees should complete the mandatory cybersecurity training to enhance their awareness.,1.0,{decision: allow; subject: employees; action: complete; resource: mandatory cybersecurity training; condition: none; purpose: awareness enhancement},collected_train
49,486,The HCP can view a list of laboratory procedures and can update the status and comments.,1.0,{decision: allow; subject: hcp; action: view; resource: list of laboratory procedures; purpose: none; condition: none | decision: allow; subject: hcp; action: update; resource: status; purpose: none; condition: none | decision: allow; subject: hcp; action: update; resource: comments; purpose: none; condition: none},t2p
50,492,"Although you are not allowed to enter past medical records until a resident is admitted, you can subsequently see earlier entries in the records.",1.0,{decision: deny; subject: you; action: enter; resource: past medical records; purpose: none; condition: resident is admitted | decision: allow; subject: you; action: see; resource: earlier entries; purpose: none; condition: none},collected_train
51,496,All employees should sign a confidentiality agreement upon joining the company.,1.0,{decision: allow; subject: all employees; action: sign; resource: confidentiality agreement; condition: none; purpose: none},collected_train
52,500,The user can select a prescription from the calendar to read the prescription's details.,1.0,{decision: allow; subject: user; action: select; resource: prescription; purpose: read the prescription’s details; condition: none},t2p
53,522,HCPs can return to an office visit.,1.0,{decision: allow; subject: hcps; action: return; resource: office visit; purpose: none; condition: none},t2p
54,527,"The user selects a prescription from the calendar to read its details by clicking the ""Read Details"" link beside or below the medication displayed for the prescription.",1.0,{decision: allow; subject: user; action: select; resource: prescription; purpose: read its details; condition: none},t2p
55,567,An HCP can reassign a previously created lab procedure .,1.0,{decision: allow; subject: hcp; action: reassign; resource: lab procedure; purpose: none; condition: none},acre
56,577,A fake email is sent to the patient alerting the patient that a new message reply has arrived.,1.0,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},t2p
57,579,An HCP may document an office visit.,1.0,{decision: allow; subject: hcp; action: document; resource: office visit; purpose: none; condition: none},t2p
59,601,"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.",1.0,{decision: allow; subject: patient; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: diastolic blood pressure; purpose: none; condition: none},acre
60,602,A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,1.0,{decision: allow; subject: public health agent; action: select; resource: time period; purpose: see a detailed listing of all adverse events related to prescription drugs or immunizations; condition: none},t2p
61,615,"To change patients dispositions, pharmacy systems should never update medical records.",1.0,"{decision: deny; subject: pharmacy systems; action: update; resource: medical record; purpose: change patients ""dispositions; condition: none}",collected_train
62,620,Professors cannot change the lectures they give during the current semester.,1.0,{decision: deny; subject: professors; action: change; resource: lectures; purpose: none; condition: during the current semester},collected_train
63,637,"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.",1.0,{decision: allow; subject: administrator; action: add; resource: software tester; purpose: none; condition: administrator has access to the database},acre
64,638,"The LHCP views a list of requests he or she has made for reports, with the status and pertinent information about the requests.",1.0,{decision: allow; subject: lhcp; action: view; resource: list of requests; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: status; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: information; purpose: none; condition: none},acre
65,642,Pharmacy systems should never read public records unless they are able to process basic medical orders.,1.0,{decision: deny; subject: pharmacy system; action: read; resource: public records; purpose: none; condition: they are able to process basic medical orders},collected_train
66,647,"The patient chooses ""My Expired Prescription Reports"" and is presented with a list of the patient's expired prescriptions , sorted by start date (the later date is ranked earlier closer to the top).",1.0,{decision: allow; subject: patient; action: choose; resource: my expired prescription reports; purpose: none; condition: none},acre
67,648,"The sending HCP then chooses to save the edits, cancel the edits, or re-enter the data .",1.0,{decision: allow; subject: sending hcp; action: save; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: edit; purpose: none; condition: none | decision: allow; subject: hcp; action: reenter; resource: data; purpose: none; condition: none},acre
68,660,The health care personnel does not confirm the selection and is prompted to try again.,1.0,{decision: deny; subject: health care personnel; action: confirm; resource: selection; condition: none; purpose: none | decision: allow; subject: health care personnel; action: try; resource: again; condition: none; purpose: none},acre
69,664,"If the use case was successful, the professor information is added, updated, or deleted from the system.",1.0,{decision: allow; subject: none; action: add; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: update; resource: professor information; purpose: none; condition: use case was successful | decision: allow; subject: none; action: delete; resource: professor information; purpose: none; condition: use case was successful},ibm
70,668,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1.0,{decision: allow; subject: person; action: read; resource: record; purpose: none; condition: none},collected
71,691,"For the patient, the HCP can choose height or weight to graph.",1.0,{decision: allow; subject: hcp; action: choose; resource: height; purpose: graph; condition: none | decision: allow; subject: hcp; action: choose; resource: weight; purpose: graph; condition: none},t2p
72,695,An HCP can create a lab procedure for a given office visit .,1.0,{decision: allow; subject: hcp; action: create; resource: lab procedure; purpose: none; condition: none},acre
73,703,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his or her appointments in the current month displayed on a calendar for the current month .",1.0,"{decision: allow; subject: lhcp; action: click; resource: view appointment calendar link; purpose: view his or her appointments in the current month; condition: none | decision: allow; subject: patient; action: click; resource: “view appointment calendar"" link; purpose: view his or her appointments in the current month; condition: none}",acre
74,744,"System presents a listing of prescription drug-related adverse events for the time period that do not have a status of ""removed"", sorted by NDC.",1.0,{decision: allow; subject: system; action: present; resource: listing of prescription drug-related adverse events; purpose: none; condition: none},t2p
75,765,Management can report customer transactions if required by law.,1.0,{decision: allow; subject: management; action: report; resource: customer transaction; purpose: none; condition: none},collected
76,784,"The patient or personal representative can see patient personal health information, immunizations, and office visit information for their own records and the records for whom the user is a personal representative.",1.0,{decision: allow; subject: patient; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: office visit information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: patient personal health information; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: immunizations; purpose: none; condition: none | decision: allow; subject: personal representative; action: see; resource: office visit information; purpose: none; condition: none},t2p
77,802,"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1.0,{decision: allow; subject: patient; action: choose; resource: referral; purpose: view complete details about the referral; condition: none},acre
79,824,one professional cannot review a project she or he has submitted.,1.0,{decision: deny; subject: professional; action: review; resource: project; purpose: none; condition: none},collected_train
80,828,An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely.,1.0,{decision: allow; subject: lhcp; action: create; resource: list of patients; purpose: none; condition: none | decision: allow; subject: uap; action: create; resource: list of patients; purpose: none; condition: none},t2p
81,832,An LHCP views a list of pending appointment requests.,1.0,{decision: allow; subject: lhcp; action: view; resource: list of pending appointment requests; purpose: none; condition: none},acre
82,846,The administrator is not allowed to change a reason or number in this access entry.,1.0,{decision: deny; subject: administrator; action: change; resource: reason; purpose: none; condition: none | decision: deny; subject: administrator; action: change; resource: number; purpose: none; condition: none},collected_train
83,851,The LHCP enters a patient medical identification number (MID)  and confirms his or her input .,1.0,{decision: allow; subject: lhcp; action: enter; resource: patient medical identification number; purpose: none; condition: none | decision: allow; subject: lhcp; action: confirm; resource: input; purpose: none; condition: none},acre
84,878,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment, and then the comment for the appointment shall be displayed in a new page .",1.0,{decision: allow; subject: user; action: select; resource: appointment; purpose: read comment; condition: none | decision: allow; subject: user; action: read; resource: comment; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: read comments link; purpose: none; condition: none | decision: allow; subject: none; action: display; resource: comment; purpose: none; condition: none},acre
85,879,"If either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey, the patient may not use the survey for a visit to the doctor.",1.0,{decision: deny; subject: patient; action: use; resource: survey; purpose: visit to the doctor; condition: either a patient or a personal health officer has not provided a report on satisfaction with a visit to the doctor for a survey},collected_train
86,883,"The patient is sent a ""fake email"" that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.",1.0,{decision: allow; subject: none; action: send; resource: fake email; purpose: none; condition: none},acre
87,885,Supervisor can not  execute the write a check use case.,1.0,{decision: deny; subject: supervisor; action: execute; resource: write a check use case; purpose: none; condition: none},collected
88,890,The administrator records a drug interaction between two prescription drugs.,1.0,{decision: allow; subject: administrator; action: record; resource: drug interaction; purpose: none; condition: none},t2p
89,891,"when the subject was a diploma, this would not permit that subject to affect grades.",1.0,{decision: deny; subject: subject; action: affect; resource: grades; purpose: none; condition: subject was a diploma},collected_train
